n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,precision,recall,f1,roc_auc,pr_auc
100,10.0,5,2,sqrt,balanced_subsample,0.9014084507042254,0.8648648648648649,0.8827586206896552,0.9964793357071975,0.9679564690369886
100,10.0,5,2,log2,balanced,0.7159090909090909,0.8513513513513513,0.7777777777777778,0.9891972155741054,0.8918228998137954
100,10.0,5,2,log2,balanced_subsample,0.7862068965517242,0.7702702702702703,0.7781569965870307,0.9846586597396534,0.886923046162276
100,10.0,5,5,sqrt,balanced,0.8263473053892215,0.9324324324324325,0.8761904761904762,0.9973148094098419,0.9719583060197378
100,10.0,5,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.996771204249606,0.9657513735343434
100,10.0,5,5,log2,balanced,0.7678571428571429,0.8716216216216216,0.8164556962025317,0.9893030179207285,0.895531167512954
100,10.0,5,5,log2,balanced_subsample,0.7770700636942676,0.8243243243243243,0.8,0.9813605452104373,0.8849003263459317
100,10.0,10,1,sqrt,balanced,0.89171974522293,0.9459459459459459,0.9180327868852459,0.9986318662074601,0.984777826466977
100,10.0,10,1,sqrt,balanced_subsample,0.9424460431654677,0.8851351351351351,0.9128919860627178,0.9979861070573813,0.9783635701706768
100,10.0,10,1,log2,balanced,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.9941152005136886,0.9465811020100348
100,10.0,10,1,log2,balanced_subsample,0.967479674796748,0.8040540540540541,0.8782287822878229,0.9934147160119082,0.9507962247387609
100,10.0,10,2,sqrt,balanced,0.85625,0.9256756756756757,0.8896103896103896,0.9979970521277217,0.9775111923930432
100,10.0,10,2,sqrt,balanced_subsample,0.9041095890410958,0.8918918918918919,0.8979591836734694,0.9974388535403654,0.9711978429509245
100,10.0,10,2,log2,balanced,0.7257142857142858,0.8581081081081081,0.7863777089783281,0.989390578483451,0.8903414263640346
100,10.0,10,2,log2,balanced_subsample,0.8571428571428571,0.8108108108108109,0.8333333333333334,0.9764170217733932,0.8874254466471324
100,10.0,10,5,sqrt,balanced,0.8263473053892215,0.9324324324324325,0.8761904761904762,0.9973148094098419,0.9719583060197378
100,10.0,10,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.996771204249606,0.9657513735343434
100,10.0,10,5,log2,balanced,0.7678571428571429,0.8716216216216216,0.8164556962025317,0.9893030179207285,0.895531167512954
100,10.0,10,5,log2,balanced_subsample,0.7770700636942676,0.8243243243243243,0.8,0.9813605452104373,0.8849003263459317
100,15.0,2,1,sqrt,balanced,0.9776119402985075,0.8851351351351351,0.9290780141843972,0.9992301967193977,0.9909774640975145
100,15.0,2,1,sqrt,balanced_subsample,0.9923076923076923,0.8716216216216216,0.9280575539568345,0.9992156032922771,0.9910931850567151
100,15.0,2,1,log2,balanced,0.9084507042253521,0.8716216216216216,0.8896551724137931,0.995399422100286,0.958876224607877
100,15.0,2,1,log2,balanced_subsample,0.9841269841269841,0.8378378378378378,0.9051094890510949,0.997048479364894,0.972598086052348
100,15.0,2,2,sqrt,balanced,0.8545454545454545,0.9527027027027027,0.9009584664536742,0.9985041737201563,0.9833639679923342
100,15.0,2,2,sqrt,balanced_subsample,0.9197080291970803,0.8513513513513513,0.8842105263157894,0.9976358648064911,0.9739975887245407
100,15.0,2,2,log2,balanced,0.7763157894736842,0.7972972972972973,0.7866666666666666,0.9876831475103613,0.8941195776781609
100,15.0,2,2,log2,balanced_subsample,0.8682170542635659,0.7567567567567568,0.8086642599277978,0.9790110034440488,0.8845112538899776
100,15.0,2,5,sqrt,balanced,0.8470588235294118,0.972972972972973,0.9056603773584906,0.9985260638608371,0.9830059237002949
100,15.0,2,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.9969061934504698,0.9688147377581912
100,15.0,2,5,log2,balanced,0.7791411042944786,0.8581081081081081,0.8167202572347267,0.9898320296538439,0.897931550802362
100,15.0,2,5,log2,balanced_subsample,0.8129032258064516,0.8513513513513513,0.8316831683168316,0.9836188780573231,0.8979830186860785
100,15.0,5,1,sqrt,balanced,0.9637681159420289,0.8986486486486487,0.9300699300699301,0.9987741521218843,0.9864563277889722
